point type,Lat,Lon
end,52.14136,-0.50737
end,45.52338,5.925
end,45.48017,5.91416
end,46.97826,4.74871
end,46.97462,4.78125
end,47.08956,4.67479
end,47.07984,4.84872
end,52.05998,-0.7233
end,52.05757,-0.72777
end,46.95617,4.74409
end,46.97851,4.74848
end,52.14137,-0.50752
end,52.14142,-0.50757
end,46.86289,4.76098
end,52.1369,-0.49669
end,52.13694,-0.49668
end,46.96934,4.97172
end,46.97448,4.78105
end,52.13547,-0.47413
end,52.14472,-0.46885
end,52.15427,-0.50264
end,52.14141,-0.50737
end,52.14154,-0.50755
end,52.14138,-0.50758
end,46.97467,4.78125
end,44.57003,4.51209
end,44.57005,4.51208
end,44.58846,4.6327
end,44.58928,4.53716
end,44.56994,4.51226
end,44.58917,4.53627
end,44.57007,4.51209
end,44.57001,4.51232
end,44.56989,4.51232
end,44.51214,4.38743
end,44.57001,4.51231
end,44.57005,4.51229
end,44.56989,4.51237
end,44.57003,4.51206
end,44.56981,4.51233
end,44.57005,4.51211
end,44.57008,4.51231
end,44.57004,4.51216
end,44.56994,4.51229
end,45.05983,4.84172
end,46.98181,4.76469
end,52.21834,-0.513
end,52.1415,-0.5077
end,51.55797,-0.77953
end,52.14148,-0.50757
end,47.10143,4.84823
end,52.14146,-0.50756
end,46.81464,1.20794
end,46.81456,1.2081
end,46.79549,1.30215
end,52.14137,-0.50759
end,52.14148,-0.50754
end,52.14143,-0.50754
end,52.14146,-0.50756
end,52.14148,-0.50762
end,46.86663,4.57926
end,52.06383,-0.39223
end,52.14139,-0.50762
end,52.06363,-0.39206
end,46.81458,1.20783
end,46.85148,1.06985
end,52.14134,-0.50751
end,46.81459,1.20784
end,46.98208,4.76483
end,46.97444,4.78115
end,46.81459,1.2082
end,46.81466,1.20811
end,46.81463,1.20807
end,46.75404,1.18501
end,46.81463,1.20784
end,46.81454,1.20824
end,46.81458,1.20787
end,44.57004,4.51203
end,51.63057,-0.26414
end,45.81523,1.23349
end,48.73741,1.34825
end,46.82197,1.23868
end,46.258,2.35795
end,50.92416,1.77654
end,52.1415,-0.50769
end,52.14148,-0.50755
end,47.00521,4.71352
end,52.14149,-0.50749
end,46.98198,4.76487
end,46.97451,4.78116
end,52.14147,-0.50769
end,46.81462,1.20787
end,46.81457,1.20786
end,46.97452,4.78115
end,46.95281,4.71497
end,52.14142,-0.50758
end,52.11895,-0.49958
end,52.14141,-0.50764
end,52.12867,-0.47275
end,52.11898,-0.49916
end,52.14143,-0.50762
end,52.11903,-0.49938
end,52.14144,-0.50757
end,46.97901,4.66099
end,52.14146,-0.50753
end,52.14145,-0.50758
end,52.14144,-0.50769
end,46.81462,1.20802
end,52.14147,-0.50763
end,52.10914,-0.47755
end,52.14145,-0.50754
end,47.01987,4.76733
end,46.95638,4.7179
end,46.81463,1.20812
end,46.97466,4.78127
end,46.914,4.80478
end,46.98249,4.76406
end,46.81452,1.20785
end,46.81464,1.20794
end,46.81456,1.2081
end,52.14482,-0.46865
end,52.14504,-0.46865
end,52.14144,-0.50762
end,52.14152,-0.50757
end,52.04848,-0.91449
end,47.00502,4.76131
end,52.14145,-0.50755
end,52.14152,-0.50754
end,52.13696,-0.4967
end,52.13728,-0.49655
end,52.1091,-0.47756
end,46.97355,4.77839
end,47.08055,4.88627
end,52.14146,-0.50761
end,52.14567,-0.46913
end,52.14146,-0.50764
end,52.14144,-0.50759
end,52.0846,-0.32602
end,52.15462,-0.58069
end,52.10836,-0.47701
end,46.98233,4.71226
end,52.02076,-0.68855
end,52.1414,-0.50745
end,46.97443,4.78115
end,52.14147,-0.50762
end,52.14127,-0.44264
end,52.14143,-0.50758
end,52.14118,-0.44262
end,52.14486,-0.46886
end,52.01283,-0.69809
end,52.14478,-0.46885
end,52.14477,-0.46892
end,52.14149,-0.50763
end,52.14209,-0.44283
end,52.01283,-0.69806
end,52.01285,-0.69804
end,52.145,-0.46903
end,52.15432,-0.5176
end,52.14128,-0.44267
end,52.10961,-0.53204
end,52.14146,-0.50772
end,52.1414,-0.50758
end,52.14145,-0.50748
end,52.14494,-0.46888
end,52.14127,-0.44269
end,52.01285,-0.69809
end,52.02069,-0.68983
end,46.9746,4.78118
end,52.14475,-0.46889
end,52.1414,-0.5076
end,52.14476,-0.4689
end,52.14478,-0.46886
end,52.14475,-0.46885
